
122219it [00:01, 70377.98it/s]
[INFO 2023-06-25 18:11:06,918] Preparing training data...
[INFO 2023-06-25 18:11:09,342] Writing files...
156965it [00:02, 69947.82it/s]

39829it [00:02, 16740.52it/s]
51282it [00:03, 14487.82it/s]
100%|███████████████████████████████████████████████| 51282/51282 [00:00<00:00, 275683.01it/s]
[INFO 2023-06-25 18:11:19,357] Word dict length: 12506
[INFO 2023-06-25 18:11:19,357] Have words: 12001
[INFO 2023-06-25 18:11:19,357] Missing rate: 0.04038061730369423
[INFO 2023-06-25 18:11:19,376] Training...
[INFO 2023-06-25 18:11:21,249] [0] Ed: 0, train_loss: inf, acc: inf
[INFO 2023-06-25 18:11:36,706] [0] Ed: 320, train_loss: 1.87881, acc: 0.24375
[INFO 2023-06-25 18:11:50,976] [0] Ed: 640, train_loss: 1.75353, acc: 0.25938
[INFO 2023-06-25 18:12:05,284] [0] Ed: 960, train_loss: 1.70846, acc: 0.26562
[INFO 2023-06-25 18:12:20,534] [0] Ed: 1280, train_loss: 1.67717, acc: 0.27109
[INFO 2023-06-25 18:12:35,066] [0] Ed: 1600, train_loss: 1.66052, acc: 0.27062
[INFO 2023-06-25 18:12:49,364] [0] Ed: 1920, train_loss: 1.65084, acc: 0.27031
[INFO 2023-06-25 18:13:04,842] [0] Ed: 2240, train_loss: 1.64177, acc: 0.27277
[INFO 2023-06-25 18:13:20,367] [0] Ed: 2560, train_loss: 1.63224, acc: 0.27461
[INFO 2023-06-25 18:13:36,531] [0] Ed: 2880, train_loss: 1.62812, acc: 0.27326
[INFO 2023-06-25 18:13:52,725] [0] Ed: 3200, train_loss: 1.62020, acc: 0.27531
[INFO 2023-06-25 18:14:08,636] [0] Ed: 3520, train_loss: 1.61335, acc: 0.28040
[INFO 2023-06-25 18:14:24,457] [0] Ed: 3840, train_loss: 1.61018, acc: 0.28359
[INFO 2023-06-25 18:14:40,512] [0] Ed: 4160, train_loss: 1.60722, acc: 0.28486
[INFO 2023-06-25 18:14:56,617] [0] Ed: 4480, train_loss: 1.60422, acc: 0.28795
[INFO 2023-06-25 18:15:11,303] [0] Ed: 4800, train_loss: 1.60087, acc: 0.29063
[INFO 2023-06-25 18:15:25,978] [0] Ed: 5120, train_loss: 1.59825, acc: 0.29395
[INFO 2023-06-25 18:15:40,377] [0] Ed: 5440, train_loss: 1.59397, acc: 0.29890
[INFO 2023-06-25 18:15:56,491] [0] Ed: 5760, train_loss: 1.59344, acc: 0.29913
[INFO 2023-06-25 18:16:10,693] [0] Ed: 6080, train_loss: 1.59017, acc: 0.30066
[INFO 2023-06-25 18:16:26,757] [0] Ed: 6400, train_loss: 1.58831, acc: 0.30234
[INFO 2023-06-25 18:16:42,345] [0] Ed: 6720, train_loss: 1.58742, acc: 0.30208
[INFO 2023-06-25 18:17:00,428] [0] Ed: 7040, train_loss: 1.58726, acc: 0.30142
[INFO 2023-06-25 18:17:18,212] [0] Ed: 7360, train_loss: 1.58459, acc: 0.30340
[INFO 2023-06-25 18:17:34,800] [0] Ed: 7680, train_loss: 1.58298, acc: 0.30417
[INFO 2023-06-25 18:17:50,657] [0] Ed: 8000, train_loss: 1.58182, acc: 0.30512
[INFO 2023-06-25 18:18:07,266] [0] Ed: 8320, train_loss: 1.57870, acc: 0.30697
[INFO 2023-06-25 18:18:22,103] [0] Ed: 8640, train_loss: 1.57768, acc: 0.30694
[INFO 2023-06-25 18:18:36,802] [0] Ed: 8960, train_loss: 1.57673, acc: 0.30737
[INFO 2023-06-25 18:18:51,582] [0] Ed: 9280, train_loss: 1.57663, acc: 0.30690
[INFO 2023-06-25 18:19:06,315] [0] Ed: 9600, train_loss: 1.57490, acc: 0.30812
[INFO 2023-06-25 18:19:21,228] [0] Ed: 9920, train_loss: 1.57375, acc: 0.30867
[INFO 2023-06-25 18:19:36,045] [0] Ed: 10240, train_loss: 1.57261, acc: 0.30859
[INFO 2023-06-25 18:19:50,222] [0] Ed: 10560, train_loss: 1.57151, acc: 0.30862
[INFO 2023-06-25 18:20:05,354] [0] Ed: 10880, train_loss: 1.57025, acc: 0.30910
[INFO 2023-06-25 18:20:19,828] [0] Ed: 11200, train_loss: 1.56812, acc: 0.31062
[INFO 2023-06-25 18:20:34,519] [0] Ed: 11520, train_loss: 1.56762, acc: 0.31033
[INFO 2023-06-25 18:20:49,014] [0] Ed: 11840, train_loss: 1.56581, acc: 0.31123
[INFO 2023-06-25 18:21:02,913] [0] Ed: 12160, train_loss: 1.56501, acc: 0.31250
[INFO 2023-06-25 18:21:17,482] [0] Ed: 12480, train_loss: 1.56387, acc: 0.31298
[INFO 2023-06-25 18:21:31,888] [0] Ed: 12800, train_loss: 1.56341, acc: 0.31328
[INFO 2023-06-25 18:21:45,708] [0] Ed: 13120, train_loss: 1.56306, acc: 0.31296
[INFO 2023-06-25 18:21:59,623] [0] Ed: 13440, train_loss: 1.56149, acc: 0.31421
[INFO 2023-06-25 18:22:13,925] [0] Ed: 13760, train_loss: 1.56070, acc: 0.31512
[INFO 2023-06-25 18:22:28,147] [0] Ed: 14080, train_loss: 1.56015, acc: 0.31555
[INFO 2023-06-25 18:22:42,299] [0] Ed: 14400, train_loss: 1.55831, acc: 0.31639
[INFO 2023-06-25 18:22:56,749] [0] Ed: 14720, train_loss: 1.55647, acc: 0.31841
[INFO 2023-06-25 18:23:10,708] [0] Ed: 15040, train_loss: 1.55509, acc: 0.31908
[INFO 2023-06-25 18:23:24,739] [0] Ed: 15360, train_loss: 1.55349, acc: 0.31973
[INFO 2023-06-25 18:23:38,563] [0] Ed: 15680, train_loss: 1.55267, acc: 0.32047
[INFO 2023-06-25 18:23:53,045] [0] Ed: 16000, train_loss: 1.55201, acc: 0.32125
[INFO 2023-06-25 18:24:06,777] [0] Ed: 16320, train_loss: 1.55131, acc: 0.32175
[INFO 2023-06-25 18:24:20,768] [0] Ed: 16640, train_loss: 1.55124, acc: 0.32212
[INFO 2023-06-25 18:24:35,056] [0] Ed: 16960, train_loss: 1.55050, acc: 0.32241
[INFO 2023-06-25 18:24:49,240] [0] Ed: 17280, train_loss: 1.54897, acc: 0.32355
[INFO 2023-06-25 18:25:02,747] [0] Ed: 17600, train_loss: 1.54845, acc: 0.32438
[INFO 2023-06-25 18:25:16,870] [0] Ed: 17920, train_loss: 1.54688, acc: 0.32506
[INFO 2023-06-25 18:25:31,389] [0] Ed: 18240, train_loss: 1.54563, acc: 0.32571
[INFO 2023-06-25 18:25:45,387] [0] Ed: 18560, train_loss: 1.54442, acc: 0.32694
[INFO 2023-06-25 18:25:59,186] [0] Ed: 18880, train_loss: 1.54242, acc: 0.32818
[INFO 2023-06-25 18:26:13,595] [0] Ed: 19200, train_loss: 1.54186, acc: 0.32880
[INFO 2023-06-25 18:26:27,924] [0] Ed: 19520, train_loss: 1.54066, acc: 0.33002
[INFO 2023-06-25 18:26:41,317] [0] Ed: 19840, train_loss: 1.53994, acc: 0.33085
[INFO 2023-06-25 18:26:55,807] [0] Ed: 20160, train_loss: 1.53890, acc: 0.33135
[INFO 2023-06-25 18:27:09,844] [0] Ed: 20480, train_loss: 1.53815, acc: 0.33232
[INFO 2023-06-25 18:27:23,485] [0] Ed: 20800, train_loss: 1.53708, acc: 0.33303
[INFO 2023-06-25 18:27:37,798] [0] Ed: 21120, train_loss: 1.53667, acc: 0.33395
[INFO 2023-06-25 18:27:51,965] [0] Ed: 21440, train_loss: 1.53501, acc: 0.33498
[INFO 2023-06-25 18:28:05,852] [0] Ed: 21760, train_loss: 1.53393, acc: 0.33575
[INFO 2023-06-25 18:28:20,000] [0] Ed: 22080, train_loss: 1.53278, acc: 0.33641
[INFO 2023-06-25 18:28:34,204] [0] Ed: 22400, train_loss: 1.53124, acc: 0.33719
[INFO 2023-06-25 18:28:49,454] [0] Ed: 22720, train_loss: 1.53082, acc: 0.33719
[INFO 2023-06-25 18:29:03,801] [0] Ed: 23040, train_loss: 1.52937, acc: 0.33850
